/*
The string not found in LCD language file, need to be added manually.
*/


a_over,Over,已结束
a_adjustred,Red Light,红灯
a_adjustlight,Brightness Control,亮度调节
a_keybacklight,Enable Key Backlight,开启按键背光灯
a_disfullindtor,Disable Contact Full Indicator,关闭联系人满时指示灯
a_disnewmsgindtor,Disable New Message Indicator,关闭新消息指示灯
a_dismwiindtor,Disable MWI Indicator,关闭语音邮箱指示灯
a_dismissindtor,Disable Missed Call Indicator,关闭未接来电指示灯
a_backmatch,Enable Enterprise Contacts Timeout Auto Search,企业联系人超时匹配
a_processing,Language reload is processing,操作正在处理
a_lang,Language,语言选择
a_screen,Capture,截图
a_screenshort,Screenshot,屏幕截图
a_coredump,Core Dump,核心转储
a_nospace,No enough storage space left, capture failed,剩余存储空间不足，抓包失败
a_deploy,Provision,部署
a_list,List,列表
a_anr,ANR Log,ANR日志
a_tombstone,Tombstones,墓碑日志
a_view,View Trace,查看已有包
a_viewscreen,View Screenshot,查看已有截图
a_screenlist,Screenshot List,已有截图列表
a_tracelist,Trace List,已有包列表
a_clearsuc,Clear Successful,清除成功
a_syslogser,Syslog Server,系统日志服务器地址
a_confsysupgrade,Are you sure to upgrade now,确认立即更新固件
a_upgrade,Upgrade,更新
a_upgrading,Upgrading,更新中
a_firmwareupgrade,Firmware Upgrade,固件更新
a_rebootcheck,Restore successful!Do you want to reboot to take effect immediately,恢复成功！是否立即重启以生效？
a_installpathchange,Firmware server path changed,固件服务器路径已修改
a_unknownfail,Unknown mistake,未知错误
a_oemidnotcompatiable,OEM id is not compatiable,固件中OEM ID不匹配
a_lowspace,There is not enough space on the disk,磁盘空间不足
a_brokenfile,The file is damaged,固件已损坏
a_notcomp,File incompatible,固件不兼容
a_imagenotcomp,Image id not compatiable,固件中image ID不匹配
a_hwnotcomp,The file is not compatiable for the hardware,固件不适用于此硬件
a_noversion,can't get current version,读取当前系统版本出错
a_wrongsig,File signature wrong,固件签名出错
a_readwrong,Read file wrong,读取固件出错
a_samever,Same version, do not need update,版本一样，不需要更新
a_succheck,Provision succeed, please check the device,升级成功，请检查设备
a_provisioning,Provision init error,升级初始化失败
a_period,Automatic Upgrade Check Interval (m),自动升级检查间隔(分)
a_skip,Skip the Firmware Check,跳过固件检查
a_whenchange,When Firmware/Config file pre/suffix changes,当固件/配置文件的前缀/后缀改变时
a_alawaycheck,Always Check at bootup,启动时总是检查
a_hourofday,Hour of the Day(0-23),每天的第几小时(0-23)
a_autouprule,Firmware Upgrade and Provisioning,固件升级和配置文件检测
a_resetconfirm,Factory reset will erase all your settings and will reboot the device, are you sure to continue,恢复出厂设置将清除所有配置,你确认要执行该项操作
a_pnp5060port,The local SIP port is 5060 in your account, save the operation will change the port to the random one, sure to change,您帐号中存在本地SIP端口为5060,保存该操作会将其改为随机端口，是否更改？
a_autopro,PnP(3CX) Auto Provision,PnP(3CX)自动设定
a_pnpurl,PNP URL,PNP地址
a_enablepnp,Enable PNP Feature,开启PNP功能
a_pnptitle,PNP Feature,PNP功能
a_CFG_Provision,Config Provision,配置文件
a_cfgProvision,Config Provision,配置文件部署
tip_timeempty,Error:The start time and the end time must be empty or not empty at the same time,错误:开始时间与结束时间需同时为空或不为空
tip_timer,Error:Starting Hour time should be less than Ending Hour time,错误:开始时间不得大于结束时间
start_endhour,Starting - Ending Hour of the Day(0-23),开始 - 结束小时(0-23)
a_dhcp242,Allow DHCP Option 242 (Avaya IP Phones),启动DHCP选项242 (Avaya IP话机)
a_dhcptitle,DHCP Option,DHCP选项
a_confighttpuser,HTTP/HTTPS User Name,HTTP/HTTPS用户名
a_configupvia,Config Upgrade Via,配置文件更新方式
a_configtitle,Config File,配置文件
a_restorecall,During the call, please try restore after the call is ending,当前正在通话中，请在通话结束后进行恢复操作
a_backupfail,Backup failed,备份失败
a_backupsuc,Backup success,备份成功
a_backuping,Backuping, please wait..,正在备份，请稍候..
a_isdeleteBackup,Are you sure to delete the restore,确定删除该备份
a_isBackup,Are you sure to restore,确定恢复该备份
a_backuplimit,Please at least select backup content,请至少选择一种备份内容
a_pwdnotsame,The password is inconsistent with current one,您输入的密码与当前密码不一致！
a_userpwdempty,Please input new user password,请输入用户新密码
a_adminoruserpwdempty,Please input new administration's or user's password,请输入管理员/用户新密码

a_enablecdp,Enable CDP,开启CDP
a_twovlan,Different Networks for Data and VoIP Calls,数据和VoIP通话使用不同网络
a_showwidgetip,Show IP Address on Account Widget,显示帐号工具IP地址
warn_ftppath,Server save path format is wrong,服务器保存路径格式错误
warn_ftpurl,Server address format is wrong,服务器地址格式错误
warn_ftp,Server address and port cannot be empty！,服务器地址和端口不能为空！
a_proxystatus,HTTP/HTTPS Proxy,HTTP/HTTPS代理服务器
a_802ca,CA Certificate,CA证书
a_md5pas,802.1X Secret,802.1X密码
a_identity,802.1X Identity,802.1X认证信息
a_802mode,802.1X Mode,802.1X模式
a_layer2qospvwifi,Layer 2 QoS 802.1p Priority Value (Wi-Fi),第二层QoS 802.1p优先级 (Wi-Fi)
a_layer2qoswifi,Layer 2 QoS 802.1Q/VLAN Tag (Wi-Fi),第二层QoS 802.1Q/VLAN标记 (Wi-Fi)
a_layer2qospv,Layer 2 QoS 802.1p Priority Value (Ethernet),第二层QoS 802.1p优先级 (以太网)
a_layer3qos,Layer 3 QoS,第三层QoS
a_lldpinterval,LLDP TX Interval (s),LLDP TX间隔 (秒)
a_gateway,Default Gateway,默认网关
a_pppacc,PPPoE Account ID,PPPoE帐号
a_autocptbyregion,Auto Config CPT by Region,根据地区自动配置CPT
a_attendtrnfonly,Attended Transfer Only,仅指定转接
a_attendtrnf,Attended Transfer,指定转接
a_blindtrnf,Blind Transfer,盲转
a_defringcad,Ring Cadence,回铃音
a_secdialtone,Second Dial Tone,备选拨号音
a_packetmodetip,The H.264 image size is not supported when packetization-mode is Single NAL Unit Mode, it will change to CIF. Are you sure to continue,此H.264 视频大小在打包模式为单包模式时不支持，将修改为CIF，是否继续
a_variable,Variable frames rate,可变帧率
a_15f,15 frames/second,15帧/秒
a_10f,10 frames/second,10帧/秒
a_5f,5 frames/second,5帧/秒
a_frame, frames/second, 帧/秒
a_g7221rate,G722.1 Rate,G722.1、G722.1C编码速率
a_autounhold,Auto Unhold When Press the Line Key,切换线路自动取消保持
a_use3rdapppkt,3rd Party App Package Name,第三方应用包名
a_use3rdapp,Use 3rd Party App as Basic Phone,使用第三方电话应用
a_dtmfcolorgrey,Grey,灰色
a_dtmfcoloryellow,Yellow,黄色
a_dtmfcolorred,Red,红色
a_dtmfbtncolor,Dial DTMF Button Color,DTMF按钮颜色
a_dtmfbtnmiddle,Middle,中
a_dtmfbtnsize,Dial DTMF Button Size,DTMF按钮大小
a_ldapdftacct,LDAP Dialing Default Account,LDAP拨号默认帐号
a_enforward,Call Forward,转接
a_disablevideo,Disable Video Call Feature,禁用视频通话功能
a_disablebefortrnf,Hold Call Before Completing Transfer,完成转移前保持通话
a_ofautodialdelay,Offhook Auto Dial Delay (s),摘机自动拨号延时(秒)
a_oncradlehangup,On-cradle Hangup,充电自动挂断
a_offcradlepickup,Off-cradle Pickup,离电自动接听
a_ofhtimeout,Offhook/Onhook Timeout (s),摘机/挂机超时(秒)
a_headsetctrl,Enable 3.5mm Headset Control,开启3.5mm耳机控制
a_escapeuri,Escape '#' as %23 in SIP URI,将SIP URI中的'#'转义成%23
a_disdndring,Disable DND Reminder Ring,禁用DND提醒音
a_callwait,Disable Call-Waiting,禁用呼叫等待
a_avayamode,Virtual Account Group Avaya Mode,虚拟帐号分组Avaya模式
a_alring,Always Ring Speaker,总以扬声器振铃
a_serverlist,Server List,服务器列表
a_serveralias,Server Alias,服务器别名
a_sipdomain,SIP Domain,SIP域名
a_rtpporterror,Local RTP Port can be even numbers only,本地RTP端口只能为偶数！
a_basicset_netset,Basic settings & Network settings,基本设置&网络设置
a_confmenu,Configuration via Keypad Menu,话机键盘菜单配置
a_logout,Logout,登出
a_logoutpin,Guest Login PIN Code,游客登录PIN码
a_publicmodeint,Guest Login Timeout,游客登录超时时间
a_publicmode,Guest Login,游客登录
a_stunserver,STUN Server,STUN服务器
a_sslpkey,SIP TLS Private Key ,SIP TLS私钥
a_sslcer,SIP TLS Certificate ,SIP TLS验证
a_notallow,Not allow,不允许
a_needpwd2,Require admin password if the app source is unknown,未知来源应用需要管理员密码
a_needpwd,Require admin password,需要管理员密码
a_allow,Allow,允许
a_apppermission,Permission to Install/Uninstall Apps,安装/卸载应用权限
a_dtmfcontentlimit,DTMF content can't contain special character execpt \"0123456789abcdABCD,;#*\",DTMF内容不能包含0123456789abcdABCD,;#*以外的特殊字符！
a_dtmfcondcid,Dial DTMF Condition Matched Caller Number Or IP,匹配来电号码或IP显示DTMF按钮
a_matchedcall,Matched Incoming Information,匹配来电信息
a_outcallonly,Outgoing Call Only,去电通话界面
a_incallonly,Incoming Call Only,来电通话界面
a_inandoutcall,Incoming/Outgoing Call,来/去电通话界面
a_dtmfcond,Dial DTMF Condition,DTMF按钮显示条件
a_challenge,SIP Realm Used for Challenge INVITE & NOTIFY ,用于Challenge INVITE ＆ NOTIFY的SIP Realm
a_sipreset,Allow SIP Reset,允许SIP恢复出厂
a_accountprogkeys,Account Programmable Keys,帐号可编程按键
a_group,Virtual Account Group,虚拟帐号分组
a_advancedcallfun,Advanced Features,高级功能
a_dismpkclick,MPK & Click2Dial,MPK & Click2Dial
ext_wrong2,Please upload the correct format file(.wav/.mp3/.ogg),请上传正确格式的文件(.wav/.mp3/.ogg)
ext_wrong,Please upload the correct format file(.wav/.mp3),请上传正确格式的文件(.wav/.mp3)
a_ringto,Ring Timeout (s),振铃超时时间 (秒)
a_ring,Ring Tone ,铃声
a_ringtone,Ring Tones,铃声
a_bcallcenter,BroadSoft Call Center,BroadSoft呼叫中心
a_workcf,Others,其它
a_cftype,Call Forward Type,呼叫转移类型
a_callforward,Call Forward,呼叫转移
a_bscallpark,Enable BroadSoft Call Park,激活BroadSoft Call Park
a_config,Configure,配置
a_lognomissed,Don't Prompt Missed Call,不弹出未接来电框
a_lognone,Disable Call All,关闭呼叫日志
a_logmiss,Log Incoming/Outgoing only(Missed Calls Not Recorded),仅限于呼入/呼出的记录（未接来电不记录）
a_anonycallrej,Anonymous Call Rejection,拒绝匿名呼叫
a_autoans,Auto Answer,自动应答
a_dialplanpr,Dial Plan Prefix,拨号前缀
payload_error2,Payload type can't be 97,各有效荷载类型不能为97
payload_error,Payload types can't be the same,各有效荷载类型值不能相同
a_disablepres,Disable Presentation,禁止演示
a_enablevideorefresh,Enable Video Gradual Decoder Refresh,开启视频渐进刷新
a_videojittermax,Video Jitter Buffer Maximum (ms),视频抖动缓冲区最大值
a_h264protype,H.264 Profile Type,H.264 Profile 类型
a_h264imgsize,H.264 Image Size,H.264 视频大小
a_notallowed,Available,可选
a_ilibcfs,iLBC Frame Size,iLBC 帧大小
a_enableandforce,Enabled/Force Auth,使用/强制认证
a_allowrefer,Allow Unsolicited REFER,允许未鉴权的REFER消息
a_wrongse,The value of Session Expiration shouldn't be smaller than Min-SE,会话超时时间值不能小于最小超时时间
a_eigsec,8 sec,8 秒
a_foursec,4 sec,4 秒
a_twosec,2 sec,2 秒
a_onesec,1 sec,1 秒
a_halfsec,0.5 sec,0.5 秒
a_siptdint,SIP Timer D Interval,SIP Timer D间隔时间
a_authinvite,Authenticate Incoming INVITE,入局INVITE会话邀请验证
a_opensession,Enable Session Timer,使用会话超时
a_retrytime,Registration Retry Wait Time (s),重试注册间隔时间 (秒)
a_regbeforeexp,Re-register before Expiration (s),注册期限内重新注册等待时间 (秒)
a_regexp,Register Expiration (m),注册超时 (分钟)
a_sipbasic,SIP Basic Settings,SIP基本设置
a_reg,SIP Registration,注册
a_disabled,Disabled,不使用
a_enabled1,Enabled,使用
a_enabled,Enabled,开启
a_displayname,Display Name,显示名
a_voicemailuid,Voice Mail Access Number,语音信箱接入号
a_authpwd,SIP Authentication Password,验证密码
a_authid,SIP Authentication ID,验证ID
a_sipuid,SIP User ID,用户ID
a_accountactive,Account Active,激活帐号
a_fctsn,Factory Serial Number,工厂序列号
a_ddrsn,DDR Serial Number,DDR序列号
a_lcdsn,LCD Serial Number,LCD序列号
a_recover,Recovery Version,恢复版本
a_hardwarerev,Hardware Revision,硬件版本
a_ipv6dnsser2,IPv6 DNS Server 2,IPv6 DNS服务器 2
a_ipv6dnsser1,IPv6 DNS Server 1,IPv6 DNS服务器 1
a_dhcp,DHCP,动态分配
a_gateway,Gateway,默认网关
a_talking,Talking,通话中
a_ring,Ring,铃声
a_dialing,Dialing,拨号中
a_registering,Registering,注册中
a_account,Account, 帐号
logout,Logout,退出
theme,Theme,主题
lang,Language :,&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;语&nbsp;&nbsp;&nbsp;言&nbsp;:
normal_record,Normal Record,普通录音
call_record,Call Record,通话录音
sysapp_record,Recording,录音
appset_ldap,LDAP Book,LDAP联系人
appset_phonebook,Contacts,本地联系人
maintenance_actionurl,Event Notification,事件通知
maintenance_broadsoft,BroadSoft Directories,BroadSoft联系人
maintenance_lang,Language,语言设置
maintenance_ping,Ping,Ping
maintenance_upgrade,Upgrade,更新升级
maintenance_time,Time Settings,区域时间设置
advanced_eventlist,MPK General Settings,MPK通用设置
advanced_mpkset,MPK LCD Settings,MPK设置
sysapp_mpk,MPK Settings,MPK设置
advanced_ring,Ring Tone,铃声音调
account_rtp,RTP Settings,RTP 设置
maintenance_menu,Maintenance,系统维护
a_samepwd,The password is not the same,两次输入密码不一致
a_checkwifi,Operate successfully, you may need to use new IP address to login if network environment has changed,操作成功。若IP地址变更请使用新的网络地址登录。
a_applysuc,Apply successfully,应用成功
a_applying,Applying, please wait..,正在应用，请稍候...
a_importlocal,Imort Local File,导入本地文件
a_importfail,Import Fail,导入失败
a_exportfail,Export Fail,导出失败
a_always,Always,总是
a_customcertmaxmum,The number of custom certificates already reached maximum,自定义证书已达最大数量！
a_certmaxmum,The number of CA certificates already reached maximum,CA证书已达最大数量！
a_changedftpwd,Using default password now, please change it for security concerns,正在使用默认密码. 为了安全, 请修改密码
a_moreone,Please leave at least one option,请至少保留一个选项
a_confirmrbt,Do you want to reboot your phone,是否确定重新启动话机
a_edit_failed,Modify failed,修改失败
a_edit_ok,Modify successfully,修改成功
a_add_ok,Add successfully,添加成功
a_del_ok,Delete successfully,删除成功
a_del_failed,Delete falied,删除失败
a_uploadfail,Upload Fail,上传失败
a_uploadsuctips,Uploaded successfully, please make sure the file format is correct, if wrong, it will not take effect,上传成功，请确保上传的文件格式正确， 如果格式错误， 将无法应用生效
a_uploadsuc,Upload successful,上传成功
a_uploadwait,Uploading, please wait..,上传中,请稍候
a_process,Processing..,进行中
a_uploading,Uploading,正在上传
a_error,Error,错误
error,Error:,错误:
tip_iperror,IP Format Error,IP地址格式错误
tip_range_between, - ,-
tip_range,Valid:,有效值：
tip_error,Invalid character exists,含有不合法字符
a_saveapplying,Save Failed,applying data, please wait..,保存失败，正在更新数据，请稍等.....
a_savesuc,Save Successfully,保存成功
a_instance,Instance,Instance
